id,name,state
hr_job_romania_132214,132214 - Inspector-Sef Conservarea Energiei,open
hr_job_romania_132215,132215 - Sef Centru Prelucrare,open
hr_job_romania_132216,132216 - Sef Laborator Control Tehnic De Calitate A Combustibilului Nuclear,open
hr_job_romania_132217,132217 - Sef Serviciu Tehnic Si Componente Nucleare,open
hr_job_romania_132218,132218 - Sef Serviciu Termochimic,open
hr_job_romania_132219,"132219 - Sef Uzina, Centrala Electrica, Gaze, Apa",open
hr_job_romania_132220,"132220 - Sef Centrala Electrica, Gaze Si Apa",open
hr_job_romania_132221,132221 - Sef Atelier Reparatii Capitale,open
hr_job_romania_132222,132222 - Inspector General Industria Petroliera,open
hr_job_romania_132223,132223 - Sef Formatie Industria Petroliera/Petrochimica,open
hr_job_romania_132224,132224 - Sef Instalatie Petroliera,open
hr_job_romania_132225,132225 - Sef Laborator Industria Petroliera,open
hr_job_romania_132226,132226 - Sef Statie Epurare Ape Reziduale,open
hr_job_romania_132227,132227 - Supervizor Geolog Si Foraj,open
hr_job_romania_132228,132228 - Sef Formatie In Industria De Masini Si Echipamente,open
hr_job_romania_132229,132229 - Sef/Sef Adjunct Statie Electrica,open
hr_job_romania_132230,132230 - Sef/Sef Adjunct Centru Exploatare Retele Electrice,open
hr_job_romania_132231,132231 - Sef Dispecer Energetic Central (Dec),open
hr_job_romania_132232,132232 - Sef Dispecer Energetic Teritorial (Det),open
hr_job_romania_132233,132233 - Sef Formatie La Fabricarea Armamentului Si Munitiei,open
hr_job_romania_132234,132234 - Sef Schimb,open
hr_job_romania_132235,132235 - Sef Formatie,open
hr_job_romania_132301,132301 - Ajutor Sef Brigada In Constructii,open
hr_job_romania_132302,132302 - Inginer-Sef In Constructii,open
hr_job_romania_132303,132303 - Conducator Antrepriza Constructii-Montaj,open
hr_job_romania_132304,132304 - Sef Atelier In Constructii,open
hr_job_romania_132305,132305 - Sef Brigada Complexa Sau Specializata,open
hr_job_romania_132306,132306 - Sef Laborator In Constructii,open
hr_job_romania_132307,132307 - Sef Lot,open
hr_job_romania_132308,132308 - Sef Santier,open
hr_job_romania_132309,132309 - Sef Sector (Sectie) Drumuri-Poduri,open
hr_job_romania_132310,"132310 - Sef Sectie Productie, Exploatare, Intretinere, Reparatii In Constructii Si Lucrari Publice",open
hr_job_romania_132311,132311 - Sef Serviciu In Constructii,open
hr_job_romania_132312,132312 - Sef Birou In Constructii,open
hr_job_romania_132313,132313 - Sef Sector Exploatare Imbunatatiri Funciare,open
hr_job_romania_132314,132314 - Sef Sistem Exploatare Imbunatatiri Funciare,open
hr_job_romania_132315,132315 - Conducator Intreprindere Mica - Patron (Girant) In Constructii,open
hr_job_romania_132401,132401 - Capitan Sef Port,open
hr_job_romania_132402,132402 - Comandant Nave Maritime,open
hr_job_romania_132403,132403 - Comandant Coordonator Grup Mare Pescuit Oceanic,open
hr_job_romania_132404,132404 - Conducator (Director Si Director Adjunct) Administratia Filiala Dunarea De Jos (Afdj),open
hr_job_romania_132405,132405 - Director Zbor,open
hr_job_romania_132406,132406 - Inginer-Sef Transporturi,open
hr_job_romania_132407,132407 - Picher Sef District,open
hr_job_romania_132408,132408 - Revizor General Siguranta Circulatiei,open
hr_job_romania_132409,132409 - Sef Agentie Navala,open
hr_job_romania_132410,132410 - Sef Atelier Aeroport,open
hr_job_romania_132411,132411 - Sef Atelier Transporturi,open
hr_job_romania_132412,132412 - Sef Autobaza,open
hr_job_romania_132413,132413 - Sef Birou Aeroport,open
hr_job_romania_132414,132414 - Sef Birou/Serviciu Relatii Internationale,open
hr_job_romania_132415,132415 - Sef Birou/Serviciu Transport Maritim Si Fluvial,open
hr_job_romania_132416,132416 - Sef Coloana Auto,open
hr_job_romania_132417,132417 - Sef Depou/Adjunct,open
hr_job_romania_132418,"132418 - Sef District Cai Ferate, Poduri, Drumuri",open
hr_job_romania_132419,132419 - Sef Divizie Cai Ferate,open
hr_job_romania_132420,132420 - Sef Laborator Aeroport,open
hr_job_romania_132421,132421 - Sef Port,open
hr_job_romania_132422,132422 - Sef Regulator Circulatie Cai Ferate,open
hr_job_romania_132423,"132423 - Sef Revizie Locomotive, Automotoare",open
hr_job_romania_132424,132424 - Sef Revizie Vagoane,open
hr_job_romania_132425,132425 - Sef Sectie/Adjunct (Sector) Transporturi,open
hr_job_romania_132426,"132426 - Sef Serviciu, Centru, Statie, Aeroport",open
hr_job_romania_132427,132427 - Sef Serviciu Filiala Administratia Filiala Dunarea De Jos,open
hr_job_romania_132428,132428 - Sef Statie Cai Ferate,open
hr_job_romania_132429,132429 - Sef Statie Teleferic,open
hr_job_romania_132430,132430 - Sef Agentie Pilotaj,open
hr_job_romania_132431,132431 - Sef Cart,open
hr_job_romania_132432,132432 - Diriginte Oficiu Transporturi,open
hr_job_romania_132433,132433 - Sef Garaj,open
hr_job_romania_132434,132434 - Comandant Instructor,open
hr_job_romania_132435,132435 - Sef Mecanic Instructor,open
hr_job_romania_132436,132436 - Sef Mecanic Maritim/Fluvial,open
hr_job_romania_132437,132437 - Sef Electrician Maritim,open
hr_job_romania_132438,132438 - Sef Atelier Reparatii,open
hr_job_romania_132439,132439 - Conducator Activitate De Transport Rutier,open
hr_job_romania_132440,132440 - Sef Trafic Auto Intern,open
hr_job_romania_132441,132441 - Sef Trafic Curierat Intern,open
hr_job_romania_132442,132442 - Sef Departament Logistica,open
hr_job_romania_132443,132443 - Sef Birou Aprovizionare-Desfacere,open
hr_job_romania_132444,132444 - Sef Depozit,open
hr_job_romania_132445,132445 - Sef Serviciu Aprovizionare-Desfacere,open
hr_job_romania_132446,132446 - Sef Siloz,open
hr_job_romania_132447,132447 - Sef Statie Uscare-Conditionare Cereale,open
hr_job_romania_132448,132448 - Manager Achizitii,open
hr_job_romania_132449,132449 - Manager Farmacii,open
hr_job_romania_132450,132450 - Manager Aprovizionare,open
hr_job_romania_132451,132451 - Manager Relatia Cu Furnizorii,open
hr_job_romania_132452,132452 - Conducator Intreprindere Mica - Patron (Girant) In Transporturi,open
hr_job_romania_133001,133001 - Director Centru De Calcul,open
hr_job_romania_133002,133002 - Sef Oficiu De Calcul,open
hr_job_romania_133003,133003 - Sef Atelier Informatica,open
hr_job_romania_133004,133004 - Sef Laborator Informatica,open
hr_job_romania_133005,133005 - Director Divizie Informatica,open
hr_job_romania_133006,133006 - Director Departament Informatica,open
hr_job_romania_133007,133007 - Manager Tehnologia Informatiilor Si Comunicatii,open
hr_job_romania_133008,133008 - Director Departament Securitate,open
hr_job_romania_133009,133009 - Conducator De Intreprindere Mica - Patron (Girant) In Informatica,open
hr_job_romania_133010,133010 - Sef Atelier Telecomunicatii,open
hr_job_romania_133011,133011 - Sef Birou Exploatare Postala,open
hr_job_romania_133012,133012 - Sef Birou Radiotelecomunicatii,open
hr_job_romania_133013,133013 - Sef Centrala Telefonica,open
hr_job_romania_133014,133014 - Sef Centru Control Calitate Emisie Radiofonica,open
hr_job_romania_133015,133015 - Sef Centru Control Calitate Emisie Televiziune,open
hr_job_romania_133016,133016 - Sef Centru Control Local Comunicatii,open
hr_job_romania_133017,133017 - Sef Centru Dirijare Zbor,open
hr_job_romania_133018,133018 - Sef Centru Postal,open
hr_job_romania_133019,"133019 - Sef Centru (Sectie, Sector) Radiodifuziune",open
hr_job_romania_133020,"133020 - Sef Centru (Sectie, Sector) Telecomunicatii",open
hr_job_romania_133021,133021 - Sef Centru Zonal Interventii Radiorelee,open
hr_job_romania_133022,133022 - Sef Centru Zonal De Interventii Translatare Tv,open
hr_job_romania_133023,133023 - Sef Formatie Comunicatii,open
hr_job_romania_133024,133024 - Sef Formatie Operationala Telecomunicatii,open
hr_job_romania_133025,133025 - Sef Laborator Masuratori Telecomunicatii,open
hr_job_romania_133026,133026 - Sef Laborator Radioteleviziune,open
hr_job_romania_133027,133027 - Sef Laborator Telecomunicatii,open
hr_job_romania_133028,133028 - Sef Lot Telecomunicatii,open
hr_job_romania_133029,133029 - Sef Retea Telecomunicatii,open
hr_job_romania_133030,133030 - Sef Serviciu Control Zonal Comunicatii,open
hr_job_romania_133031,133031 - Sef Serviciu Exploatare Postala,open
hr_job_romania_133032,133032 - Sef Serviciu Informare Zbor,open
hr_job_romania_133033,133033 - Sef Serviciu Navigatie,open
hr_job_romania_133034,133034 - Sef Serviciu Radiotelecomunicatii,open
hr_job_romania_133035,133035 - Sef Statie Comunicatii Prin Satelit,open
hr_job_romania_133036,133036 - Sef Statie Radiorelee,open
hr_job_romania_133037,133037 - Sef Statie Televiziune,open
hr_job_romania_133038,133038 - Sef Studio,open
hr_job_romania_133039,133039 - Telefonist-Sef,open
hr_job_romania_133040,133040 - Telegrafist-Sef,open
hr_job_romania_133041,133041 - Sef Oficiu Zonal Posta,open
hr_job_romania_133042,133042 - Sef Oficiu Special Posta,open
hr_job_romania_133043,133043 - Diriginte Oficiu Telecomunicatii,open
hr_job_romania_133044,133044 - Sef Turn Telecomunicatii,open
hr_job_romania_133045,133045 - Sef Statie Radiotelegrafie (Rtg),open
hr_job_romania_133046,133046 - Sef Centru National De Telecomunicatii Aeronautice Aviatie Civila,open
hr_job_romania_133047,133047 - Conducator Intreprindere Mica - Patron (Girant) In Comunicatii,open
hr_job_romania_134201,134201 - Asistent Medical Sef,open
